code_iris;nom_iris;code_commune;population_18_75;taux_vapotage_quotidien_pct;taux_vapotage_actuel_pct;nb_vapoteurs_quotidiens_estimes;taux_tabagisme_quotidien_pct;vapoteurs_pct_hommes;vapoteurs_pct_femmes;vapoteurs_pct_age_18_29;vapoteurs_pct_age_30_44;vapoteurs_pct_age_45_59;vapoteurs_pct_age_60_74;vapoteurs_pct_dipl_inf_bac;vapoteurs_pct_dipl_bac;vapoteurs_pct_dipl_sup_bac;vapoteurs_pct_actif_occ;vapoteurs_pct_chomeur;vapoteurs_pct_etudiant;vapoteurs_pct_retraite;vapoteurs_pct_autre_inactif;vapoteurs_pct_fumeurs_double_usage;vapoteurs_pct_ex_fumeurs;vapoteurs_pct_jamais_fumeurs;vapoteurs_pct_motif_sevrage;vapoteurs_pct_motif_reduction_sante;vapoteurs_pct_motif_economique;vapoteurs_pct_motif_recreatif;taux_p05;taux_p95
545470102;Brabois Prieuré;54547;1417.0;5.63;7.94;80.0;22.49;55.6;44.4;59.8;18.5;14.8;6.9;34.0;19.3;46.8;51.4;5.5;34.5;1.1;7.4;47.0;50.1;2.8;37.3;24.8;19.2;18.7;4.89;6.33
545470103;Vélodrome-Reclus Callot;54547;1862.0;5.94;8.46;111.0;22.97;59.1;40.9;71.1;13.0;11.1;4.8;33.8;17.1;49.1;53.9;8.6;34.1;0.6;2.8;47.6;49.6;2.8;36.5;24.5;19.0;20.1;5.15;6.68
545470104;Village Haut de Penoy Les Cheminots;54547;2039.0;5.48;7.5;112.0;23.18;54.8;45.2;25.2;33.7;28.4;12.6;38.4;20.0;41.6;71.8;11.9;10.7;2.0;3.6;47.8;49.4;2.8;39.6;26.7;20.7;13.0;4.76;6.17
545470105;Montet-Octroi;54547;1353.0;5.81;8.17;79.0;24.86;56.3;43.7;56.5;23.7;13.4;6.5;47.3;23.7;29.1;39.2;15.2;31.8;1.4;12.3;49.5;47.8;2.7;36.4;25.5;19.7;18.4;5.04;6.54
545470106;Brossolette;54547;1384.0;5.77;8.05;80.0;26.04;58.1;41.9;46.9;26.0;19.2;7.9;57.8;20.1;22.0;45.5;13.6;20.7;1.9;18.2;50.7;46.7;2.6;36.5;26.2;20.3;17.1;5.01;6.49
545470107;Villes de France Mairie;54547;1088.0;5.56;7.65;60.0;26.29;58.5;41.5;33.9;30.9;21.6;13.6;61.7;24.7;13.6;51.6;16.1;10.1;2.1;20.1;50.9;46.4;2.6;37.3;27.0;20.8;14.9;4.82;6.26
545470108;Trèves Fribourg;54547;1532.0;5.97;8.24;91.0;27.91;52.4;47.6;30.8;34.9;27.5;6.8;60.4;21.3;18.4;47.2;19.6;10.3;1.0;21.9;52.4;45.0;2.5;36.9;27.5;21.2;14.3;5.18;6.72
545470109;Les Nations;54547;1020.0;5.67;7.89;58.0;24.64;52.9;47.1;43.9;24.2;23.4;8.5;50.8;22.9;26.3;56.2;12.9;20.3;1.5;9.2;49.3;48.0;2.7;37.3;26.0;20.1;16.5;4.92;6.38
545470110;Vand'Est-Étoile;54547;1175.0;5.88;8.14;69.0;28.48;55.3;44.7;31.8;30.5;31.4;6.3;64.0;20.2;15.8;33.9;19.4;12.6;1.1;32.9;52.9;44.6;2.5;36.6;27.6;21.3;14.5;5.1;6.62
545470111;Les Jonquilles;54547;834.0;5.28;7.24;44.0;26.55;56.8;43.2;31.9;30.6;21.7;15.8;73.6;13.5;12.9;38.7;25.5;10.9;2.5;22.5;51.2;46.2;2.6;37.4;27.2;21.0;14.5;4.58;5.94
545470112;Parc de Loisirs Cassiopée;54547;1178.0;5.57;7.66;66.0;26.47;56.0;44.0;29.8;33.4;25.9;11.0;64.1;14.4;21.5;47.9;20.6;11.4;2.0;18.1;51.1;46.3;2.6;37.6;27.3;21.1;14.1;4.83;6.27
